Date,SPY,AGG
2014-12-15,167.2601776123047,85.10604858398438
2014-12-16,165.9187774658203,85.31444549560547
2014-12-17,169.1715545654297,85.20639038085938
2014-12-18,173.35501098632812,84.98253631591797
2014-12-19,174.0926055908203,85.12152862548828
2014-12-22,174.8934326171875,85.25273132324219
2014-12-23,175.12950134277344,84.85906982421875
2014-12-24,175.14639282226562,84.95118713378906
2014-12-26,175.71112060546875,84.98994445800781
2014-12-29,175.94717407226562,85.16803741455078
2014-12-30,175.00303649902344,85.2610092163086
2014-12-31,173.26651000976562,85.28425598144531
2015-01-02,173.17373657226562,85.52433776855469
2015-01-05,170.0462646484375,85.7101821899414
2015-01-06,168.4446563720703,85.92700958251953
2015-01-07,170.5436248779297,85.91154479980469
2015-01-08,173.57000732421875,85.77987670898438
2015-01-09,172.17904663085938,85.98900604248047
2015-01-12,170.8302764892578,86.05872344970703
2015-01-13,170.3497772216797,86.0819320678711
2015-01-14,169.32135009765625,86.29105377197266
2015-01-15,167.770263671875,86.6860580444336
2015-01-16,169.97047424316406,86.35302734375
2015-01-20,170.33291625976562,86.50018310546875
2015-01-21,171.19273376464844,86.34527587890625
2015-01-22,173.73855590820312,86.29877471923828
2015-01-23,172.78598022460938,86.5156478881836
2015-01-26,173.19064331054688,86.47688293457031
2015-01-27,170.90615844726562,86.43048858642578
2015-01-28,168.71432495117188,86.79443359375
2015-01-29,170.2738800048828,86.72476196289062
2015-01-30,168.13272094726562,87.03453063964844
2015-02-02,170.2149200439453,87.03144836425781
2015-02-03,172.67637634277344,86.69791412353516
2015-02-04,172.0188751220703,86.82972717285156
2015-02-05,173.75543212890625,86.6513442993164
2015-02-06,173.27496337890625,86.14717102050781
2015-02-09,172.4994354248047,86.13163757324219
2015-02-10,174.33709716796875,86.03856658935547
2015-02-11,174.43820190429688,85.99980163574219
2015-02-12,176.1157684326172,86.01527404785156
2015-02-13,176.8407440185547,85.9144287109375
2015-02-17,177.11895751953125,85.56541442871094
2015-02-18,177.1357879638672,85.80589294433594
2015-02-19,177.00933837890625,85.7360610961914
2015-02-20,178.071533203125,85.7515640258789
2015-02-23,178.0461883544922,85.90670013427734
2015-02-24,178.552001953125,86.28680419921875
2015-02-25,178.40023803710938,86.34883880615234
2015-02-26,178.1895294189453,86.03856658935547
2015-02-27,177.5825653076172,86.25575256347656
2015-03-02,178.70376586914062,85.81752014160156
2015-03-03,177.97036743164062,85.70877075195312
2015-03-04,177.2200927734375,85.75538635253906
2015-03-05,177.4139404296875,85.79422760009766
2015-03-06,174.91876220703125,85.23481750488281
2015-03-09,175.64369201660156,85.4524154663086
2015-03-10,172.79441833496094,85.65438079833984
2015-03-11,172.38980102539062,85.82530975341797
2015-03-12,174.58155822753906,85.8952407836914
2015-03-13,173.51097106933594,85.73207092285156
2015-03-16,175.8291473388672,85.9185791015625
2015-03-17,175.30653381347656,85.90302276611328
2015-03-18,177.4139404296875,86.53236389160156
2015-03-19,176.60472106933594,86.22936248779297
2015-03-20,178.16357421875,86.49352264404297
2015-03-23,177.81639099121094,86.509033203125
2015-03-24,176.81724548339844,86.74213409423828
2015-03-25,174.22618103027344,86.5789566040039
2015-03-26,173.81130981445312,86.26820373535156
2015-03-27,174.20925903320312,86.39247131347656
2015-03-30,176.3345947265625,86.43138885498047
2015-03-31,174.79356384277344,86.5789566040039
2015-04-01,174.1754150390625,86.85997009277344
2015-04-02,174.80201721191406,86.74320983886719
2015-04-06,175.9789581298828,86.7977294921875
2015-04-07,175.51324462890625,86.8132553100586
2015-04-08,176.10597229003906,86.82107543945312
2015-04-09,176.88504028320312,86.60311889648438
2015-04-10,177.85025024414062,86.60311889648438
2015-04-13,177.04588317871094,86.69652557373047
2015-04-14,177.38455200195312,86.78996276855469
2015-04-15,178.1804656982422,86.90670013427734
2015-04-16,178.1296844482422,86.85997009277344
2015-04-17,176.08053588867188,86.93006134033203
2015-04-20,177.6894073486328,86.86779022216797
2015-04-21,177.4777374267578,86.77437591552734
2015-04-22,178.34983825683594,86.51746368408203
2015-04-23,178.79861450195312,86.64981079101562
2015-04-24,179.21351623535156,86.7977294921875
2015-04-27,178.4684295654297,86.82888793945312
2015-04-28,179.03570556640625,86.49413299560547
2015-04-29,178.29904174804688,86.29952239990234
2015-04-30,176.5124053955078,86.29952239990234
2015-05-01,178.4260711669922,86.05459594726562
2015-05-04,178.93408203125,85.8908462524414
2015-05-05,176.88504028320312,85.81285095214844
2015-05-06,176.1567840576172,85.5242691040039
2015-05-07,176.85960388183594,85.73486328125
2015-05-08,179.18814086914062,86.01565551757812
2015-05-11,178.33294677734375,85.46971130371094
2015-05-12,177.7995147705078,85.46188354492188
2015-05-13,177.8333282470703,85.45409393310547
2015-05-14,179.6876983642578,85.5866928100586
2015-05-15,179.8824462890625,85.9454345703125
2015-05-18,180.44131469726562,85.61787414550781
2015-05-19,180.38201904296875,85.3215103149414
2015-05-20,180.25498962402344,85.45409393310547
2015-05-21,180.780029296875,85.71929168701172
2015-05-22,180.34812927246094,85.62566375732422
2015-05-26,178.4091339111328,85.83627319335938
2015-05-27,180.10263061523438,85.92208099365234
2015-05-28,179.89938354492188,85.8908462524414
2015-05-29,178.7816925048828,85.92208099365234
2015-06-01,179.14581298828125,85.68453216552734
2015-06-02,178.968017578125,85.3485107421875
2015-06-03,179.44215393066406,85.01253509521484
2015-06-04,177.92645263671875,85.1922836303711
2015-06-05,177.62167358398438,84.81720733642578
2015-06-08,176.52931213378906,84.94221496582031
2015-06-09,176.50392150878906,84.70000457763672
