Date,SPY,AGG,Lega,Ten,Bund
2014-12-05,,,454.3267,119.53125,128.89
2014-12-08,,,455.1574,119.84375,129.7
2014-12-09,,,458.4728,120.21875,130.12
2014-12-10,,,458.7923,120.71875,130.18
2014-12-11,,,457.8362,120.5,130.27
2014-12-12,,,460.105,121.171875,130.94
2014-12-15,167.2601776123047,85.10604858398438,459.2225,120.875,130.86
2014-12-16,165.9187774658203,85.31444549560547,461.5063,121.265625,131.24
2014-12-17,169.1715545654297,85.20639038085938,459.6174,120.578125,131.33
2014-12-18,173.35501098632812,84.98253631591797,457.1502,120.109375,131.04
2014-12-19,174.0926055908203,85.12152862548828,457.065,120.265625,131.32
2014-12-22,174.8934326171875,85.25273132324219,457.1478,120.328125,131.26
2014-12-23,175.12950134277344,84.85906982421875,454.7603,119.625,131.38
2014-12-24,175.14639282226562,84.95118713378906,455.0804,119.578125,131.38
2014-12-25,,,455.1942,,
2014-12-26,175.71112060546875,84.98994445800781,455.331,119.640625,
2014-12-29,175.94717407226562,85.16803741455078,456.0563,120.015625,132.03
2014-12-30,175.00303649902344,85.2610092163086,457.1887,120.203125,132.08
2014-12-31,173.26651000976562,85.28425598144531,456.5313,120.421875,132.08
2015-01-02,173.17373657226562,85.52433776855469,455.936,120.78125,132.69
2015-01-05,170.0462646484375,85.7101821899414,455.639,121.390625,132.43
2015-01-06,168.4446563720703,85.92700958251953,457.3734,121.984375,133.13
2015-01-07,170.5436248779297,85.91154479980469,455.1824,122.09375,132.94
2015-01-08,173.57000732421875,85.77987670898438,454.7009,121.734375,132.54
2015-01-09,172.17904663085938,85.98900604248047,456.3424,122.203125,132.95
2015-01-12,170.8302764892578,86.05872344970703,456.9791,122.6875,132.92
2015-01-13,170.3497772216797,86.0819320678711,457.1202,122.9375,132.89
2015-01-14,169.32135009765625,86.29105377197266,459.2567,123.390625,133.47
2015-01-15,167.770263671875,86.6860580444336,458.1975,123.96875,133.65
2015-01-16,169.97047424316406,86.35302734375,456.6238,123.484375,133.65
2015-01-19,,,458.3619,,133.98
2015-01-20,170.33291625976562,86.50018310546875,457.2412,123.484375,133.9
2015-01-21,171.19273376464844,86.34527587890625,456.9202,123.0625,133.02
2015-01-22,173.73855590820312,86.29877471923828,454.5694,122.75,133.95
2015-01-23,172.78598022460938,86.5156478881836,454.1833,123.296875,134.94
2015-01-26,173.19064331054688,86.47688293457031,453.6292,123.125,134.36
2015-01-27,170.90615844726562,86.43048858642578,456.0836,123.28125,134.63
2015-01-28,168.71432495117188,86.79443359375,455.9706,124.09375,134.95
2015-01-29,170.2738800048828,86.72476196289062,454.9329,123.8125,134.93
2015-01-30,168.13272094726562,87.03453063964844,455.8092,124.5,135.6
2015-02-02,170.2149200439453,87.03144836425781,456.7804,124.546875,135.56
2015-02-03,172.67637634277344,86.69791412353516,456.5171,123.6875,135.12
2015-02-04,172.0188751220703,86.82972717285156,455.9785,123.625,134.83
2015-02-05,173.75543212890625,86.6513442993164,456.3415,123.484375,134.79
2015-02-06,173.27496337890625,86.14717102050781,453.0467,122.34375,134.63
2015-02-09,172.4994354248047,86.13163757324219,452.9493,122.234375,135.05
2015-02-10,174.33709716796875,86.03856658935547,451.4557,121.984375,134.67
2015-02-11,174.43820190429688,85.99980163574219,450.3554,121.984375,134.82
2015-02-12,176.1157684326172,86.01527404785156,452.5661,122.046875,135.31
2015-02-13,176.8407440185547,85.9144287109375,452.9675,121.859375,135.2
2015-02-16,,,452.7181,,135.14
2015-02-17,177.11895751953125,85.56541442871094,451.3523,120.875,134.82
2015-02-18,177.1357879638672,85.80589294433594,451.409,121.640625,134.74
2015-02-19,177.00933837890625,85.7360610961914,451.6786,121.21875,134.84
2015-02-20,178.071533203125,85.7515640258789,451.575,121.03125,135.03
2015-02-23,178.0461883544922,85.90670013427734,452.1333,121.640625,135.07
2015-02-24,178.552001953125,86.28680419921875,452.7851,122.3125,135.07
2015-02-25,178.40023803710938,86.34883880615234,454.2561,122.34375,135.66
2015-02-26,178.1895294189453,86.03856658935547,452.0495,121.90625,136.01
2015-02-27,177.5825653076172,86.25575256347656,452.1183,122.046875,135.67
2015-03-02,178.70376586914062,85.81752014160156,450.2848,121.375,135.34
2015-03-03,177.97036743164062,85.70877075195312,449.7471,121.0625,135.17
2015-03-04,177.2200927734375,85.75538635253906,448.0189,121.15625,134.93
2015-03-05,177.4139404296875,85.79422760009766,447.6152,121.3125,135.2
2015-03-06,174.91876220703125,85.23481750488281,443.2629,120.3125,134.57
2015-03-09,175.64369201660156,85.4524154663086,443.5955,120.671875,135.69
2015-03-10,172.79441833496094,85.65438079833984,442.9397,121.171875,136.74
2015-03-11,172.38980102539062,85.82530975341797,441.7809,121.234375,137.05
2015-03-12,174.58155822753906,85.8952407836914,442.8786,121.453125,136.37
2015-03-13,173.51097106933594,85.73207092285156,441.1022,121.359375,136.4
2015-03-16,175.8291473388672,85.9185791015625,442.0288,121.46875,136.11
2015-03-17,175.30653381347656,85.90302276611328,442.2709,121.75,136.0
2015-03-18,177.4139404296875,86.53236389160156,444.5856,122.8125,137.06
2015-03-19,176.60472106933594,86.22936248779297,445.0231,122.46875,137.1
2015-03-20,178.16357421875,86.49352264404297,448.3908,122.9375,137.17
2015-03-23,177.81639099121094,86.509033203125,450.3513,123.09375,136.78
2015-03-24,176.81724548339844,86.74213409423828,450.3993,123.34375,136.54
2015-03-25,174.22618103027344,86.5789566040039,451.4327,123.0625,136.74
2015-03-26,173.81130981445312,86.26820373535156,449.6975,122.484375,136.82
